         /\\\\            /\\\\  /\\\\\\\\\\\\     /\\\\\\\\\\\\\\\  /\\\\\\\\\\\
         \/\\\\\\        /\\\\\\ \/\\\////////\\\  \/\\\///////////  \/////\\\///
          \/\\\//\\\    /\\\//\\\ \/\\\      \//\\\ \/\\\                 \/\\\
           \/\\\\///\\\/\\\/ \/\\\ \/\\\       \/\\\ \/\\\\\\\\\\\         \/\\\
            \/\\\  \///\\\/   \/\\\ \/\\\       \/\\\ \/\\\///////          \/\\\
             \/\\\    \///     \/\\\ \/\\\       \/\\\ \/\\\                 \/\\\
              \/\\\             \/\\\ \/\\\       /\\\  \/\\\                 \/\\\
               \/\\\             \/\\\ \/\\\\\\\\\\\\/   \/\\\\\\\\\\\\\\\  /\\\\\\\\\\\
                \///              \///  \////////////     \///////////////  \///////////
			MULTI		   DIMENSIONAL 		ETERNO 	       INFINITO

ELIMINA EL ULTIMO PARENTESIS ) DEL LINK, NO ES PARTE DE EL

UNETE A NOSOTROS, AYUDEMOS A LA SOCIEDAD.
COMPARTE ESTE ARCHIVO LO MAS QUE PUEDAS.
https://www.facebook.com/groups/1222842638483075
https://t.me/MDEI_ORG


	ALERGOLOGIA - INFECTOLOGIA (folder)
		Manual AMIR. 12da ed. Otorrinolaringología.pdf (20.06 MB, shared as exported permanent file link: https://mega.nz/file/6xoQSSLL#hzPpMdSoQQJ7P_kImVXQ3WUExT0PXklLwNrUF7u1Q3s)
		Manual CTO 6ed - Otorrinolaringología (ORL).pdf (3.04 MB, shared as exported permanent file link: https://mega.nz/file/up4TES7S#6cuH8yjtnb9LFs5QroKDH_sU6tG5rmEfgc3Wi2xk1xs)
		Otorrinolaringología CTO 3.0.pdf (79.86 MB, shared as exported permanent file link: https://mega.nz/file/HsBnUJjZ#OdxyPv5xQ8gksAyszDAYiZW-hbbi4tOdoOcTf4i3Bf0)
	Patología y Fisiopatología (folder)
		Atlas de Patología - Robins.pdf (93.48 MB, shared as exported permanent file link: https://mega.nz/file/SwhXjIIY#XDJaxGMSTCJNyGWIqe4yKhRL6lwMZUgsJaAjWKVPmvA)
		Compendio Patologia Robbins 7ed.pdf (156.33 MB, shared as exported permanent file link: https://mega.nz/file/H450HT4D#eEJMVCjiwO5y0GFXSnvKFnUV_hoMPLrqDfIUAzhD3Os)
		Enfermedades Infecciosas Principios y Práctica - Mandell Douglas y Bennett 7ed.pdf (299.54 MB, shared as exported permanent file link: https://mega.nz/file/vgo1hYgK#fUxk5BblGogKNzqSo2BptQVRhjNbHlRgCNBPztdqVoQ)
		Enfermedades Infecciosas Vélez 7ed.pdf (37.54 MB, shared as exported permanent file link: https://mega.nz/file/3gAi2TbQ#YROVknyrnF3giXDeB5TZlh6tn79c8pqokubIfyAvL0U)
		Fisiopatología - Mcphee, Ganong 5ed.pdf (58.78 MB, shared as exported permanent file link: https://mega.nz/file/StwT3ArS#E-UNOQgHMTb7nzX6LFPmvGWtq6A7Hm9cs8GVcEz02FE)
		Fisiopatología - Porth 7ed.pdf (343.46 MB, shared as exported permanent file link: https://mega.nz/file/G1ZyQRLQ#dFxHOG9x-JvK_U-BMDHKJ1ivI-t70nLllEX_7E2mzAw)
		Robbins_Cotran_Patologia_Estructural_y_Funcional_9a_.pdf (419.60 MB, shared as exported permanent file link: https://mega.nz/file/ytpx3QBC#iQI1WoN4QKixGmGCcikxpP_wjiALY17l6yP4qIH5m2E)
	PEDIATRIA (folder)
		AIEPI CLINICO 2016.pdf (16.42 MB, shared as exported permanent file link: https://mega.nz/file/OlQzjQ7Q#fEVNnFqq4ky_4C8SglxAq8oAvi1IAdM6nOcg4Wa_ULk)
		APLS Medicina de Emergencias Pedi-tricas 5a Edicion_.pdf (12.42 MB, shared as exported permanent file link: https://mega.nz/file/y4hREapA#tVvq7rVy3vz5HAEUIYOMIMYuaOf0QrNL6oVbxmOIsMM)
		Cardiologia Pediatrica Practica.pdf (29.60 MB, shared as exported permanent file link: https://mega.nz/file/K8BBUQiA#qgLIl5bDkJ6n94omY7w1pPcjYt2QYF71n9seNYo3uq0)
		Cirugía pediatría.pdf (34.81 MB, shared as exported permanent file link: https://mega.nz/file/69QFhRJR#6P6Xkx8Y4cKWdNADW2uwtJbPMJfFdyxajb0HGncFDk4)
		CTO España. 11ra ed. Pediatría.pdf (16.36 MB, shared as exported permanent file link: https://mega.nz/file/KwYngCIL#whbccU89HIBo_2aYCL5BPU67XtDl-eZdWZXjadExKoo)
		CUADRO DE PROCEDIMIENTOS.pdf (19.07 MB, shared as exported permanent file link: https://mega.nz/file/mgAyQBxC#ResIrBO2Bn2i8cjNHHl3I9LvWea2xhT4t6yyHtyClOc)
		Decisiones en Urgencias Pediatricas_booksmedicos.pdf (5.44 MB, shared as exported permanent file link: https://mega.nz/file/b05AhTJa#apjWufJFscmpDG--oH8OGlTc_7_6Qg8xeSE_GuERuGA)
		Diagnostico y Tratamiento en Pediatria.pdf (7.97 MB, shared as exported permanent file link: https://mega.nz/file/etRDxBoT#HJ1KFjdkZFF5B1ZLVQITPWhgXp7adJ2jHVZTXuDlMrk)
		Diarrea Tratamiento Niños (88).pdf (7.50 MB, shared as exported permanent file link: https://mega.nz/file/D4pQ3ayB#WPP5L8z66pZECoxDanG5HjCDE1GRJBTFUnoYH7cp4L4)
		FORMULAS DE UTILIDAD EN PEDIATRIA 2019.pdf (9.57 MB, shared as exported permanent file link: https://mega.nz/file/PxAzCRzC#zi3e9v8Tq5fIwV4uNTDbe-VNqgV7kfus8Tg2rus4zYw)
		Fórmulas de utilidad en pediatría .pdf (9.57 MB, shared as exported permanent file link: https://mega.nz/file/uspWHY4a#zi3e9v8Tq5fIwV4uNTDbe-VNqgV7kfus8Tg2rus4zYw)
		G-Pediatrìa - Guia rapida de dosificacion practica en pediatrìa 2 ed 2013.pdf (680.68 KB, shared as exported permanent file link: https://mega.nz/file/7sgBAIpZ#tHhgkmsDclii2_EYiTruhKWYhn5hFG5Mn8b3G4MV2DI)
		GINA_PGPed06Spanish_Corr.pdf (259.32 KB, shared as exported permanent file link: https://mega.nz/file/LwZi2RgR#-HNGzoK9zWWlwwguJkeifLoALpmfTQ9H0IxAd5YjrCU)
		Imagen.Pediatrica.Practica.pdf (16.62 MB, shared as exported permanent file link: https://mega.nz/file/Gp5AlaZY#m-qKV5DWSiZnMkgFWn_jDHitg37cCdFT2iISuE8zEVQ)
		Nuevo Tratado de pediatría     Manuel Cruz Hernández.pdf (41.30 MB, shared as exported permanent file link: https://mega.nz/file/2oJi3Z6K#FgUlE3ycvCuC0DRh9qoKTEG31Pd4IeLW2zaCi-myAdg)
		Otorrinolaringologia pediatrica 4a Edicion_.pdf (20.54 MB, shared as exported permanent file link: https://mega.nz/file/es4V2ZwA#2UaOGdUd0REOB0X_8bpFbQaxu0r4Mvd4lhj-TMBflb8)
		Pediadosis_Dosis_de_medicamentos.pdf (55.05 MB, shared as exported permanent file link: https://mega.nz/file/XxI0FSxL#RmeiABkJubR5ekIuxE9Dgo80MfX0VOxBMlCZciQfZNU)
		Pediatria de Bolsillo - Paritosh Prasad.pdf (11.91 MB, shared as exported permanent file link: https://mega.nz/file/SlI2hZJJ#tKHgKfuke8br4LSlnuX6DjW3XyM-fjxwANWqe-z6RRw)
		pediatric radiology essentials.pdf (24.55 MB, shared as exported permanent file link: https://mega.nz/file/uppzUYaR#OLY0sNuETgInh_Ys_G5Kc22jFPgjomlxgPFEhm6bsE4)
		Pediatría - Martínez 8ª.pdf (48.35 MB, shared as exported permanent file link: https://mega.nz/file/7x4y1CQa#iL5QcS9rmTBn3gR0HCh73xg60ZUYoiSkjdjaRPNvKsk)
		RNRN_T1 bookmedico.blogspot.com.pdf (127.59 MB, shared as exported permanent file link: https://mega.nz/file/O1x3yK6C#FWOllpDLnt2PvE0QrTTJi46sAUD6-z5TW-Su8AYL35E)
		RNRN_T2_by bookmedico.blogspot.com.pdf (145.05 MB, shared as exported permanent file link: https://mega.nz/file/e5IUSKgZ#04k2KHwp7yB-ZTUvxlIP4aHM7sfETNspgDNR65aYQNY)
	PSIQUIATRIA (folder)
		17 PSIQUIATRIA.pdf (39.19 MB, shared as exported permanent file link: https://mega.nz/file/P45QxSZD#asnUiJ9z8yXnZg20Bn3Z1a2OQsD6vdQGMoBUU5ZL8ak)
		CTO España. 11ra ed. Psiquiatría.pdf (6.77 MB, shared as exported permanent file link: https://mega.nz/file/m5ITjZaK#vlFKhYOLs0nLtUe-AMaIB5yaQ4SsxEi6-TdyThtwT-0)
		Diagnostic.and.Statistical.Manual.of.Mental.Disorders.DSM-5.pdf (30.32 MB, shared as exported permanent file link: https://mega.nz/file/L0gnwK4D#j09U0RfDi6G0Y_UPcv7hiEo2JuvPPsk4j42wpkNSD8s)
		DSM-5 guia para el diagnstico clinico - James Morrison.pdf (3.61 MB, shared as exported permanent file link: https://mega.nz/file/f153WKTJ#43W46B-Sa9rUhdHuJk9_A0STn7z-HfbwLU2HIWb1O3I)
		Fundamentos de Medicina Psiquiatria 5a Edicion_booksmedicos.org.pdf (13.83 MB, shared as exported permanent file link: https://mega.nz/file/v0xj2QAK#UWOeAaLdir7JUKTg-sFPb_E2C9BSByhqm0nsyG5NQBw)
		Guia de Consulta de los Criterios Diagnosticos del DSM-5_booksmedicos.org.pdf (29.24 MB, shared as exported permanent file link: https://mega.nz/file/ygRByaqA#G6fvMo5DZ62IIBAqKbV5BcHJo7J0Y0fCQH-2WGv-ycQ)
		INICIO.PDF (154.98 KB, shared as exported permanent file link: https://mega.nz/file/qlQy3bzR#2Qu2jc1dVUVDeFyoSSQK-hUzslMF0_UyIsf1oyXfRZY)
		Introduccion a La Psicopatologia y La Psiquiatria de Vallejo 7ma Edicion.pdf (15.08 MB, shared as exported permanent file link: https://mega.nz/file/C15BjSoY#1ITXsteiANMk_v9nOLc0PLrJwCWfx7--ryF_SjfrRLs)
		Introduccion a la Psiquiatria Suarez.pdf (124.93 MB, shared as exported permanent file link: https://mega.nz/file/jw4HFKQA#tnaX1j51UBKpjqx2RSOAVByFyFw-sozO2LpJbuQVOQ8)
		kapaln-y-sadock_ psiquiatria.pdf (3.20 MB, shared as exported permanent file link: https://mega.nz/file/6kogkJ5C#pd7qakQ1QS62EbF_y8XVJN9wa4ImLk020vg0DtZkdv8)
		Kaplan & Sadock Manual de Bolsillo de Psiquiatria Clinica 6e_booksmedicos.org.pdf (12.77 MB, shared as exported permanent file link: https://mega.nz/file/qtJj3KgS#b_RVgVBlsj6laoAJU8rFhK_HwMS8Zm93jtvT0DJBYmU)
		Kaplan Sadock Sinopsis de Psiquiatria_booksmedicos.org.pdf (602.40 MB, shared as exported permanent file link: https://mega.nz/file/z8hE2LqB#FtbbJFq434OFpTOvZ-GbYPA6M8RUoYZAM149FQ1k9_w)
		Manual AMIR. 12da ed. Psiquiatría.pdf (5.59 MB, shared as exported permanent file link: https://mega.nz/file/PshARIzJ#x7meTuz6__wGKNe6qovS1QUxJNwyLihgOSKHDYgmWb0)
		Manual CTO 6ed - Psiquiatría.pdf (2.85 MB, shared as exported permanent file link: https://mega.nz/file/L04QBBLJ#3jVTlzplLQFYByW4k1-H-2dqPv-ssvycP2jf3HF4hBo)
		Manual de Psiquiatria Valero.pdf (15.60 MB, shared as exported permanent file link: https://mega.nz/file/mowzXbyZ#5afLymmRpWncgZc-v8NFViUfxeRgOydG8bIvwT2neZI)
		Psiquiatria para medicos no psiquiatras.pdf (16.26 MB, shared as exported permanent file link: https://mega.nz/file/2tYCQAAK#vID4z9ouLJFAdCyOdyd7LKSCRY8m3cZsctXSsJFx2ho)
		Psiquiatría CTO 3.0.pdf (70.58 MB, shared as exported permanent file link: https://mega.nz/file/GtpnhI7Z#za8_X3V9T4HYvygy0rW2OjfyZ-Z2L21Odv4ZJHqLYEs)
		psquiatria- manual cto.pdf (43.85 MB, shared as exported permanent file link: https://mega.nz/file/XkQlnDbQ#TIFofZl1sZspYGyVlqNub08ODsGnRmj-MPTBj_boYnY)
	RADIOLOGÍA - IMAGENOLOGIA (folder)
		ABC de la radiografía de tórax.pdf (8.95 MB, shared as exported permanent file link: https://mega.nz/file/i4hCSCLR#P3bZ3BYgdxf7QSDq1gTdcSqIHWPuc7pJsJoY3jXqXNI)
		Actualizaciones SERAM Imagen en Oncologia.pdf (7.82 MB, shared as exported permanent file link: https://mega.nz/file/P5JwQRbR#HgG7eLsXtkCF1elJEloF01ExRUL6lmVhBqLA3DiK90o)
		Anatomia Radiologica - Moller.pdf (8.20 MB, shared as exported permanent file link: https://mega.nz/file/CxxAFTpS#osRfWDZdsoA5iVOF2zI8hk9vhM40BnuBjjJHFnZRdtc)
		anatomia ryan.pdf (97.77 MB, shared as exported permanent file link: https://mega.nz/file/21oSDCgb#sZZmsRmCs-_J3WWTxJXkd7jROboKp0w_xZdEWMhI8JE)
		Anatomía para el diagnóstico Radiológico - Ryan.pdf (22.97 MB, shared as exported permanent file link: https://mega.nz/file/Lwxl0KQD#hfT8lBdRxTnrOeRdCjsa-VoehU3CoYzqyvEs_lrQkOo)
		Anatomía Radiológica Escencial - Netter.pdf (171.07 MB, shared as exported permanent file link: https://mega.nz/file/fw5UUQaR#NKy_RabctTPeEPdiC3kawmKta6yNzSNtDGJbqcYyxQg)
		Apuntes de diagnostico por imagen Andrade.pdf (14.48 MB, shared as exported permanent file link: https://mega.nz/file/ThgVQLqQ#e-265Uruao0pO6fe0sffE6HEtT9elB0hxW9kLq13r3k)
		ATLAS DE RESONANCIA Y TOMOGRAFIA Netter.pdf (29.00 MB, shared as exported permanent file link: https://mega.nz/file/qt5nxR4I#aUNpxiPLlVRNXLNpoJmboXL-Ri3MgBO9RddkmM7zQ_E)
		Atlas de Resonancia y Tomografía - Konneman.pdf (29.00 MB, shared as exported permanent file link: https://mega.nz/file/61IyHQyJ#Xu1oPO5MhI7s88td_RDyyJsqn3no8MHbXsQYl2FUxGQ)
		CTO España. 11ra ed. Radiodiagnóstico.pdf (32.17 MB, shared as exported permanent file link: https://mega.nz/file/KspgQJJY#3lu-1uww5oJcs1sjLexzvN8l216YOvGJw2It_OEmj9g)
		Diagnostico por Imagen Abdomen_booksmedicos.org.pdf (74.90 MB, shared as exported permanent file link: https://mega.nz/file/WlJxmS7a#K8NfPhklnoq3SlPOU5T3jEsE58ZbaVeNIk-r9mC_P7A)
		Diagnostico por imagen del cuerpo humano - John R. Haaga.pdf (716.65 MB, shared as exported permanent file link: https://mega.nz/file/e9AFTIbJ#HRQI5vJCyR3jA6lt0QIqW9kBTxn40hQ2FVBMD29nnXE)
		DIAGNOSTICOS NORMAL  Y PATOLOGICO TORAX Dr-Sanchez-Sanchez-Aula-de-diagnostico-por-imagen-RX-de-torax.pdf (48.79 MB, shared as exported permanent file link: https://mega.nz/file/vwBmBKDQ#8c62wycXlLTrd89DimYb0daAimWK7sOQkVtrXIl5a8I)
		Diagnóstico por Imagenes en Medicina II tomo 1 y 2.pdf (67.54 MB, shared as exported permanent file link: https://mega.nz/file/f4JF3QYZ#8Sy-5Y5C_avqcpT4k_ztZODwXQEh7rcGbykVhqIEXDk)
		Diccionario de Tomografía Computarizada - Calvo.pdf (11.96 MB, shared as exported permanent file link: https://mega.nz/file/zhpUGaIY#wtrHJYcvWfQ6LWLz1zwYg8-lC3Dkmqimtqf2Sn4qrr0)
		Ecografia Cardiovascular.pdf (217.72 MB, shared as exported permanent file link: https://mega.nz/file/rkwG0ARY#nnqWXdDqdVUumKurByR1e1LKIcdjNRYkMTL9EMkB-bQ)
		Ecografia facil para medicina de urgencias .pdf (40.05 MB, shared as exported permanent file link: https://mega.nz/file/yw5y2bKC#flPOxa9YycRsSCNJzk4yMm2Eo-nH7XMuMXIwtqHgzsY)
		Ecografia Musculoesqueletica.pdf (14.30 MB, shared as exported permanent file link: https://mega.nz/file/blJSDICZ#6x9XH2QYq8ZYV--sz8OB27zhXsoUA5h-a0sJkKYF1DI)
		Ecografia obstétrica de Callen.pdf (189.88 MB, shared as exported permanent file link: https://mega.nz/file/noIFyKpb#226IDv3R8HjVAMGnzj-zxo__2WqafDUjy5sirhzjFAY)
		Felson_principios_de_radiologia_toracica.pdf (9.07 MB, shared as exported permanent file link: https://mega.nz/file/SgR1FYRD#7JBwgl1h3QTW8DEgLVf5QmylSQDwc2qdUIeVhhOYUgs)
		Felson_Principios_de_Radiología.pdf (8.98 MB, shared as exported permanent file link: https://mega.nz/file/Tx4EGIJZ#OBLTVXoLRpSxo7JwfYJZizYUJ-DQ25kMMwuI9PdXmfo)
		Fundamentos de Radiologia 1.pdf (95.73 MB, shared as exported permanent file link: https://mega.nz/file/aoQgVSRK#rToxUuvUnJMawJb-s7h1UW-pnUSf4dFrVhb1rY4Ps7s)
		Fundamentos de Radiologia 2.pdf (99.17 MB, shared as exported permanent file link: https://mega.nz/file/Opw2RKTK#lvjvwHO1Nqd5dwbfdjybcqRXOvOr30D4zlN8UfnerFM)
		Fundamentos de Radiologia 3.pdf (125.73 MB, shared as exported permanent file link: https://mega.nz/file/mthw1bDQ#FP_UhdlHDm26n5pj84U3dm_vo7FfyIlnNcUxyfOBMNw)
		Fundamentos de Radiologia 4.pdf (132.51 MB, shared as exported permanent file link: https://mega.nz/file/71p3na5K#zqC_vNrd9XFoU6ClN-SkTzVWj_35z69KTn1XfnpEtx4)
		Fundamentos de Radiología - Tomo 3.pdf (125.74 MB, shared as exported permanent file link: https://mega.nz/file/vsYgEDRD#roO9Sa5j-LurxkEDS5qchz8996EfQlWTIW7JUTZ6lOc)
		Fundamentos de Radiología - Tomo 4.pdf (131.90 MB, shared as exported permanent file link: https://mega.nz/file/jp4xURaK#TduhmsZrSv2HBgcAbcuXJg_Am45ss4DoiHHOONBrlno)
		Guia Practica de Radiologia de Torax.pdf (6.17 MB, shared as exported permanent file link: https://mega.nz/file/Hx4jjJIB#Pgg4I18WDSVXioOPAhoFb_OgzgRPcKpk9_ZxBd39WYA)
		hallazgos imagenologicos covid 19.pdf (470.26 KB, shared as exported permanent file link: https://mega.nz/file/fsQ0kb5S#Ke1VVjyhOMIEkqWYr32tbZDM3fJUue9JOtY652Tutf0)
		Imagen.Pediatrica.Practica.pdf (16.62 MB, shared as exported permanent file link: https://mega.nz/file/P4YS1BzQ#m-qKV5DWSiZnMkgFWn_jDHitg37cCdFT2iISuE8zEVQ)
		IMAGENOLOGIA HERRING 3ERA ED LibrosMedicina.ORG.pdf (283.16 MB, shared as exported permanent file link: https://mega.nz/file/blBkwILA#ZvFcajWhI0R02GJPS19jCBB3d53fi894zWpipcb1Rxs)
		Imagenología - Ríos.pdf (30.16 MB, shared as exported permanent file link: https://mega.nz/file/X8x01IQD#GFWgYFuVyt3x8kbJZD2Kv0pPS3xtPgTA2WvaQ0lvovw)
		Imágenes Radiológicas Clínicas - Weir, Murray.pdf (18.69 MB, shared as exported permanent file link: https://mega.nz/file/nwIQyQhS#2Q1364ELgFiEVnOXNkW6-WPRtmK4mZ2UmEyBr-oeQ_U)
		Introducción al diagnóstico por imagen - Smith.pdf (96.38 MB, shared as exported permanent file link: https://mega.nz/file/7ogxWYLC#tyj88CnO2_x_9fvA2H9dq2T8wRFZqn0ILUjLIjnQ1eU)
		Lange_Radiología_básica.pdf (16.05 MB, shared as exported permanent file link: https://mega.nz/file/OphHyKDL#VTDsBwzR9xQ04eBSRCdVD4SZO_cppR54brMgeLN1k6E)
		Manual AMIR. 12da ed. Imágenes.pdf (4.27 MB, shared as exported permanent file link: https://mega.nz/file/30RgzAYb#8VntFcNXqqH5qCD4t0Nmp1jdSeeq8wbz0k93Zp2BR_k)
		Manual básico de Técnicas ecoguiadas en el tratamiento del dolor crónico.pdf (4.17 MB, shared as exported permanent file link: https://mega.nz/file/P5wDUbKQ#d5kqsoGrxqaVoVFYgxTqZ4JMkD6-MliusXX7IEz9mi4)
		Manual de Imagenologia.pdf (13.62 MB, shared as exported permanent file link: https://mega.nz/file/34RkBTIR#ZXvHqHtSIjyuOS97GaENnNQzYZNH-4y2GaquV1xRDpw)
		Manual de Tomografia axial computarizada multicorte.pdf (14.52 MB, shared as exported permanent file link: https://mega.nz/file/Do50SBpS#dMVMmqUsAj1v5ME2SIXc30Ka4-f9e5DF4HWZyebbQWc)
		Manual Práctico de Tomografías - González.pdf (8.69 MB, shared as exported permanent file link: https://mega.nz/file/L4RVUBJI#qX-YqSjrO5Q6glmrzgstpZms3QXtpI2p90n9d0HMnZo)
		Manual_de_Diagnóstico_por_Imágenes_Para_alumnos_y_médicos_en_formación.pdf (118.01 MB, shared as exported permanent file link: https://mega.nz/file/XpxlRDaT#Di-2ovECRN7_dunKQ0yvX_5X2nvaHuhxwCSidd_zacQ)
		medicina - radiologia anatomia para el diagnostico radiologico.pdf (97.71 MB, shared as exported permanent file link: https://mega.nz/file/ikADETII#AGRq3y2rOLXa03rx2fHL9INke0psv0087A98545kXGg)
		NETER RADIOLOGIA.pdf (169.28 MB, shared as exported permanent file link: https://mega.nz/file/W9IDnRgb#e1l7JtA3tuqjrFFcGl5BOb9Y9tYaAB_WZjTu3VjajXY)
		Notas de Radiología - Shoener.pdf (13.39 MB, shared as exported permanent file link: https://mega.nz/file/LxQD3SJJ#ALN56dkeKcP8plk_yhDQFRvFRt2fnLIZABwu8unV9RI)
		pediatric radiology essentials.pdf (24.55 MB, shared as exported permanent file link: https://mega.nz/file/q4oAxKYb#OLY0sNuETgInh_Ys_G5Kc22jFPgjomlxgPFEhm6bsE4)
		Pocket Atlas of Sectional Anatomy - CT and MRI - Vol. 1 Thieme Head and Neck.pdf (74.46 MB, shared as exported permanent file link: https://mega.nz/file/jtxATDqB#NaTZFYFSbFr6_cm91REawh6C0E0hvVn9O4mD_sRGGy8)
		Pocket.Atlas.of.Sectional.Anatomy,.Vol. II.3rd.ed.2006.Thieme.3HAXAP.pdf (69.40 MB, shared as exported permanent file link: https://mega.nz/file/f54w3bxY#fufEZ2eef_o0XKXcIFDoPC3DoSU9uEVMreRdPU0prNg)
		Radiologia 101.pdf (36.08 MB, shared as exported permanent file link: https://mega.nz/file/CwBATLDZ#syW4xpJJ9H5FPRYUR--ZNJdVWiV4lwvPjGkYscWRWX8)
		Radiologia Basica Aspectos Fundamentale 2da.pdf (174.80 MB, shared as exported permanent file link: https://mega.nz/file/e45AyZTB#b0SuYYVODBNQEVQn1CY3VT8NgK7kHGmL_j1FNKar_zw)
		RADIOLOGIA DE TORAX EN ATENCION PRIMARIA.pdf (20.26 MB, shared as exported permanent file link: https://mega.nz/file/f0g2HT7J#lDnH1OfM-3hj-SUkttiGlqKbBrj9KG-M84n0yGIwNig)
		Radiologia Escencial tomo 1.pdf (1980.70 MB, shared as exported permanent file link: https://mega.nz/file/r5pwHIQT#eIQrrBVqTcxVbVXsws3Uu-bUkLMlJwJWZaSB-9-V2lI)
		Radiologia Esencial tomo 2.pdf (685.03 MB, shared as exported permanent file link: https://mega.nz/file/21pn1ABT#umvHdJt3iow4BRFoBfR8AF1sOp9lxukPotYeOzpBjtw)
		RADIOLOGIA_Pocket_Atlas_of_Sec3 Musculo.pdf (42.11 MB, shared as exported permanent file link: https://mega.nz/file/mxoBQJxR#sqvyL3-dOPn8QguXSEjXWyoFEG44y7RUFwgmLWjLoWw)
		Radiología Básica Aspectos Fundamentales.pdf (174.80 MB, shared as exported permanent file link: https://mega.nz/file/e9wQiDrD#bclKXI5j5sOCR0jppgyflpo4qbYI9hcj25GxLsMyzmU)
		Radiología Básica LANGE.pdf (16.77 MB, shared as exported permanent file link: https://mega.nz/file/CkRjSQjZ#DxAbP5mVzvFd05cUg-egbkISS6BH2_XD0bhd9PRphRk)
		Radiología_Básica_Rx_TC_RM_Ecografía.pdf (62.82 MB, shared as exported permanent file link: https://mega.nz/file/CppVUJqY#Pnw3AimRM-GWDLZHh-iazJg2UCYoZmdiq_O-qP4AjbE)
		Radiología_de_urgencias_y_emergencias_Tercera_edición_Nigel_Raby.pdf (145.12 MB, shared as exported permanent file link: https://mega.nz/file/DxhUzKaY#orqDTuQchQSHxK80xJ-kU0V2I8e7Px4SgfHQHFKsy7M)
		Resonancia Magnética - Costa y Soria.pdf (68.43 MB, shared as exported permanent file link: https://mega.nz/file/egQT3SrS#qw4Yqf7qc4F9ySyAk4xHdl__tsck7f525YHapKZ6Lxw)
		Resonancia_Magnética_Protocolos_de_Estudio_y_Físicas_López.pdf (4.47 MB, shared as exported permanent file link: https://mega.nz/file/q4w2VAgD#ZuJG9QenW0RRixhJK1IF7ocM6JIcwuePs8dRVhUjzMw)
		RNRN_T1 bookmedico.blogspot.com.pdf (127.59 MB, shared as exported permanent file link: https://mega.nz/file/CgB0VbAT#FWOllpDLnt2PvE0QrTTJi46sAUD6-z5TW-Su8AYL35E)
		RNRN_T2_by bookmedico.blogspot.com.pdf (145.05 MB, shared as exported permanent file link: https://mega.nz/file/ShpTGRQL#04k2KHwp7yB-ZTUvxlIP4aHM7sfETNspgDNR65aYQNY)
		Secretos de Radiología.pdf (15.55 MB, shared as exported permanent file link: https://mega.nz/file/alBVXa6Q#t983phg5fTfSQLOYBgK5K30OozshIpeSTIvkU1Av8o0)
		Serie Radiología Clínica. Los 100 diagnósticos principales en Mama.pdf (57.73 MB, shared as exported permanent file link: https://mega.nz/file/ThAUmQAL#MWcHCkdztCpcrYEiKICwtYDCyzHks5aWo1FOcYoLa2M)
		Tratado de las Enfermedades de las Glandula Mamaria 1.pdf (11.74 MB, shared as exported permanent file link: https://mega.nz/file/ipoVHAwa#LUMxFagMDj0Zy9LTHfgoBWtC3a0Z378biilq7n93JjY)
		TUTORIAL RX Tórax COVID-19.pdf (3.45 MB, shared as exported permanent file link: https://mega.nz/file/604WVQpD#3cquUKlE-rdip0OpYW1Vk01oAdJdZcvW02H1B4UvRu0)
		Técnicas_de_radiología_especial_Primera_edición_Concepción_González.pdf (70.95 MB, shared as exported permanent file link: https://mega.nz/file/u4J2mKBC#ZsbwafSBZ_PxDIMoaHpIveXuWSMuPBh5c9fmOHwWggU)
		Ultrasonografia Musculoesqueletica.pdf (110.84 MB, shared as exported permanent file link: https://mega.nz/file/zppFjQxZ#uj_OZipwLC8PbLIeafMNb7pNZPiPusB3pjUMx2AYPQY)
		Weir - Atlas y Texto de Imágenes Radiológicas Clínicas.pdf (18.69 MB, shared as exported permanent file link: https://mega.nz/file/asZSFCBC#JwjntGIWZA25XdPVHacuuIpgKmp0DfTH5UMiHaV6shE)
	RESUMENES - MED GENERAL (folder)
		Abreviaturas_medicas.pdf (1961.34 KB, shared as exported permanent file link: https://mega.nz/file/vwhjUCKC#5wL81ti6eJMjz0kVwLRv98Rd608pzTTGZ4uxoe7zmCs)
		Analisis de Orina Atlas Color Graff.pdf (83.69 MB, shared as exported permanent file link: https://mega.nz/file/DgwGQASI#K_D54rPd2DenUhTIy7Y-N2bQgM7K6jCVF9UOwc-gDpI)
		Anemias.pdf (165.87 KB, shared as exported permanent file link: https://mega.nz/file/25Yh3Iga#XDl99DhNT070QV6IyFMpRbcZ0Opv0VrcnEoAsSeB0qo)
		Casanova - Infecciones de transmision sexual.pdf (4.22 MB, shared as exported permanent file link: https://mega.nz/file/r0pjXZTa#pb80aTgl-WWqWMnv6AXBWSnM7dtj17Ef5Da4ARX6Zys)
		Control de las enfermedades transmisibles.pdf (2.64 MB, shared as exported permanent file link: https://mega.nz/file/ysAEAZrC#xwM7IFqv7tbxmlrvVKem1xCp-34SqtPBk5qdxtsNSb0)
		CRISTALES_CALCULOS_ORINA.pdf (517.21 KB, shared as exported permanent file link: https://mega.nz/file/P5BGBZhK#lMojMA4YdTkbUBEnr_p4wh0WYdIjnRwbQeS3DQOMfDA)
